datakey,unit_id,cluster_gmm
dynamic28712-3-8-Fluorescence-7b721b-v4a,1305,29
dynamic28712-3-8-Fluorescence-7b721b-v4a,1306,49
dynamic28712-3-8-Fluorescence-7b721b-v4a,1312,28
dynamic28712-3-8-Fluorescence-7b721b-v4a,1313,29
dynamic28712-3-8-Fluorescence-7b721b-v4a,1315,29
dynamic28712-3-8-Fluorescence-7b721b-v4a,1322,29
dynamic28712-3-8-Fluorescence-7b721b-v4a,1337,29
dynamic28712-3-8-Fluorescence-7b721b-v4a,1339,29
dynamic28712-3-8-Fluorescence-7b721b-v4a,1347,31
dynamic28712-3-8-Fluorescence-7b721b-v4a,1348,29
dynamic28712-3-8-Fluorescence-7b721b-v4a,1349,29
dynamic28712-3-8-Fluorescence-7b721b-v4a,1360,29
dynamic28712-3-8-Fluorescence-7b721b-v4a,1449,29
dynamic28712-3-8-Fluorescence-7b721b-v4a,1483,28
dynamic28712-3-8-Fluorescence-7b721b-v4a,1485,28
dynamic28712-3-8-Fluorescence-7b721b-v4a,1522,33
dynamic28712-3-8-Fluorescence-7b721b-v4a,1525,29
dynamic28712-3-8-Fluorescence-7b721b-v4a,1556,21
dynamic28712-3-8-Fluorescence-7b721b-v4a,1563,29
dynamic28712-3-8-Fluorescence-7b721b-v4a,1567,29
dynamic28712-3-8-Fluorescence-7b721b-v4a,1570,29
dynamic28712-3-8-Fluorescence-7b721b-v4a,1572,29
dynamic28712-3-8-Fluorescence-7b721b-v4a,1573,29
dynamic28712-3-8-Fluorescence-7b721b-v4a,1599,29
dynamic28712-3-8-Fluorescence-7b721b-v4a,1609,28
dynamic28712-3-8-Fluorescence-7b721b-v4a,1612,29
dynamic28712-3-8-Fluorescence-7b721b-v4a,1613,29
dynamic28712-3-8-Fluorescence-7b721b-v4a,1614,29
dynamic28712-3-8-Fluorescence-7b721b-v4a,1616,3
dynamic28712-3-8-Fluorescence-7b721b-v4a,1617,3
dynamic28712-3-8-Fluorescence-7b721b-v4a,1648,21
dynamic28712-3-8-Fluorescence-7b721b-v4a,1649,29
dynamic28712-3-8-Fluorescence-7b721b-v4a,1650,28
dynamic28712-3-8-Fluorescence-7b721b-v4a,1651,21
dynamic28712-3-8-Fluorescence-7b721b-v4a,1653,29
dynamic28712-3-8-Fluorescence-7b721b-v4a,1654,29
dynamic28712-3-8-Fluorescence-7b721b-v4a,1664,29
dynamic28712-3-8-Fluorescence-7b721b-v4a,1666,29
dynamic28712-3-8-Fluorescence-7b721b-v4a,1670,3
dynamic28712-3-8-Fluorescence-7b721b-v4a,1671,3
dynamic28712-3-8-Fluorescence-7b721b-v4a,1701,29
dynamic28712-3-8-Fluorescence-7b721b-v4a,1702,29
dynamic28712-3-8-Fluorescence-7b721b-v4a,1704,29
dynamic28712-3-8-Fluorescence-7b721b-v4a,1705,2
dynamic28712-3-8-Fluorescence-7b721b-v4a,1717,0
dynamic28712-3-8-Fluorescence-7b721b-v4a,1745,21
dynamic28712-3-8-Fluorescence-7b721b-v4a,1746,21
dynamic28712-3-8-Fluorescence-7b721b-v4a,1747,29
dynamic28712-3-8-Fluorescence-7b721b-v4a,1749,29
dynamic28712-3-8-Fluorescence-7b721b-v4a,1750,29
dynamic28712-3-8-Fluorescence-7b721b-v4a,1754,29
dynamic28712-3-8-Fluorescence-7b721b-v4a,1789,21
dynamic28712-3-8-Fluorescence-7b721b-v4a,1793,43
dynamic28712-3-8-Fluorescence-7b721b-v4a,1795,21
dynamic28712-3-8-Fluorescence-7b721b-v4a,1798,21
dynamic28712-3-8-Fluorescence-7b721b-v4a,1827,28
dynamic28712-3-8-Fluorescence-7b721b-v4a,1851,33
dynamic28712-3-8-Fluorescence-7b721b-v4a,1907,21
dynamic28712-3-8-Fluorescence-7b721b-v4a,1952,49
dynamic28712-3-8-Fluorescence-7b721b-v4a,1956,33
dynamic28712-3-8-Fluorescence-7b721b-v4a,1968,49
dynamic28712-3-8-Fluorescence-7b721b-v4a,1969,32
dynamic28712-3-8-Fluorescence-7b721b-v4a,2072,2
dynamic28712-3-8-Fluorescence-7b721b-v4a,2073,3
dynamic28712-3-8-Fluorescence-7b721b-v4a,2074,43
dynamic28712-3-8-Fluorescence-7b721b-v4a,2076,3
dynamic28712-3-8-Fluorescence-7b721b-v4a,2081,29
dynamic28712-3-8-Fluorescence-7b721b-v4a,2085,29
dynamic28712-3-8-Fluorescence-7b721b-v4a,2092,3
dynamic28712-3-8-Fluorescence-7b721b-v4a,2098,29
dynamic28712-3-8-Fluorescence-7b721b-v4a,2125,33
dynamic28712-3-8-Fluorescence-7b721b-v4a,2133,29
dynamic28712-3-8-Fluorescence-7b721b-v4a,2134,29
dynamic28712-3-8-Fluorescence-7b721b-v4a,2144,29
dynamic28712-3-8-Fluorescence-7b721b-v4a,2146,43
dynamic28712-3-8-Fluorescence-7b721b-v4a,2152,21
dynamic28712-3-8-Fluorescence-7b721b-v4a,2157,29
dynamic28712-3-8-Fluorescence-7b721b-v4a,2160,29
dynamic28712-3-8-Fluorescence-7b721b-v4a,2161,3
dynamic28712-3-8-Fluorescence-7b721b-v4a,2169,2
dynamic28712-3-8-Fluorescence-7b721b-v4a,2170,29
dynamic28712-3-8-Fluorescence-7b721b-v4a,2173,29
dynamic28712-3-8-Fluorescence-7b721b-v4a,2181,29
dynamic28712-3-8-Fluorescence-7b721b-v4a,2186,21
dynamic28712-3-8-Fluorescence-7b721b-v4a,2189,49
dynamic28712-3-8-Fluorescence-7b721b-v4a,2190,21
dynamic28712-3-8-Fluorescence-7b721b-v4a,2192,28
dynamic28712-3-8-Fluorescence-7b721b-v4a,2233,21
dynamic28712-3-8-Fluorescence-7b721b-v4a,2234,2
dynamic28712-3-8-Fluorescence-7b721b-v4a,2253,29
dynamic28712-3-8-Fluorescence-7b721b-v4a,2255,3
dynamic28712-3-8-Fluorescence-7b721b-v4a,2271,29
